sample_id	donor_id	bam	strandness	read_length
DD056OP2	DD056OP2	/projects/talisman/shared-data/HAEC-185/bams/DD056OP2.markdup.sorted.bam	rf	101
DD054PP2	DD054PP2	/projects/talisman/shared-data/HAEC-185/bams/DD054PP2.markdup.sorted.bam	rf	101
DD064PP2	DD064PP2	/projects/talisman/shared-data/HAEC-185/bams/DD064PP2.markdup.sorted.bam	rf	101
DD065OP2	DD065OP2	/projects/talisman/shared-data/HAEC-185/bams/DD065OP2.markdup.sorted.bam	rf	101
DD002PP2	DD002PP2	/projects/talisman/shared-data/HAEC-185/bams/DD002PP2.markdup.sorted.bam	rf	101
DD007Q	DD007Q	/projects/talisman/shared-data/HAEC-185/bams/DD007Q.markdup.sorted.bam	rf	101
DD042OP2	DD042OP2	/projects/talisman/shared-data/HAEC-185/bams/DD042OP2.markdup.sorted.bam	rf	101
DD045PP2	DD045PP2	/projects/talisman/shared-data/HAEC-185/bams/DD045PP2.markdup.sorted.bam	rf	101
DD034PP2	DD034PP2	/projects/talisman/shared-data/HAEC-185/bams/DD034PP2.markdup.sorted.bam	rf	101
DD014QP2	DD014QP2	/projects/talisman/shared-data/HAEC-185/bams/DD014QP2.markdup.sorted.bam	rf	101
DD070OP2	DD070OP2	/projects/talisman/shared-data/HAEC-185/bams/DD070OP2.markdup.sorted.bam	rf	101
DD066QP2	DD066QP2	/projects/talisman/shared-data/HAEC-185/bams/DD066QP2.markdup.sorted.bam	rf	101
DD008QP2	DD008QP2	/projects/talisman/shared-data/HAEC-185/bams/DD008QP2.markdup.sorted.bam	rf	101
UNM12	UNM12	/projects/talisman/shared-data/HAEC-185/bams/UNM12.markdup.sorted.bam	rf	101
DD036PP2	DD036PP2	/projects/talisman/shared-data/HAEC-185/bams/DD036PP2.markdup.sorted.bam	rf	101
DD038OP2	DD038OP2	/projects/talisman/shared-data/HAEC-185/bams/DD038OP2.markdup.sorted.bam	rf	101
DD011RP2	DD011RP2	/projects/talisman/shared-data/HAEC-185/bams/DD011RP2.markdup.sorted.bam	rf	101
DD021PP2	DD021PP2	/projects/talisman/shared-data/HAEC-185/bams/DD021PP2.markdup.sorted.bam	rf	101
DD026PP2	DD026PP2	/projects/talisman/shared-data/HAEC-185/bams/DD026PP2.markdup.sorted.bam	rf	101
DD018Q	DD018Q	/projects/talisman/shared-data/HAEC-185/bams/DD018Q.markdup.sorted.bam	rf	101
DD021OP2	DD021OP2	/projects/talisman/shared-data/HAEC-185/bams/DD021OP2.markdup.sorted.bam	rf	101
DD035PP2	DD035PP2	/projects/talisman/shared-data/HAEC-185/bams/DD035PP2.markdup.sorted.bam	rf	101
DD013QP1	DD013QP1	/projects/talisman/shared-data/HAEC-185/bams/DD013QP1.markdup.sorted.bam	rf	101
DD034N	DD034N	/projects/talisman/shared-data/HAEC-185/bams/DD034N.markdup.sorted.bam	rf	101
DD042QP2	DD042QP2	/projects/talisman/shared-data/HAEC-185/bams/DD042QP2.markdup.sorted.bam	rf	101
